Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Abbey Wood,51.48648353740194,0.10931788814329141,Co-op Food,51.48764979256399,0.11348962783813477,Grocery Store
Abbey Wood,51.48648353740194,0.10931788814329141,Bostal Gardens,51.4866697860935,0.11046211395875472,Playground
Abbey Wood,51.48648353740194,0.10931788814329141,Neem Tree Pharmacy in Abbeywood,51.48754290176349,0.11336088180541994,Pharmacy
Abbey Wood,51.48648353740194,0.10931788814329141,Othalias Security Services U K,51.48352095330697,0.10546445846557617,IT Services
Abbey Wood,51.48648353740194,0.10931788814329141,Red barbars shop,51.4845883,0.1036027,Cosmetics Shop
Acton,51.51059090877987,-0.2645845022195275,The Station House,51.50887658087082,-0.2630759210521079,Pub
Acton,51.51059090877987,-0.2645845022195275,The Rocket,51.50877156930198,-0.2637867213673025,Pub
Acton,51.51059090877987,-0.2645845022195275,Acton Park,51.508594742382954,-0.26157297315454864,Park
Acton,51.51059090877987,-0.2645845022195275,MrBakeme,51.50845201430658,-0.2685427219174968,Creperie
Acton,51.51059090877987,-0.2645845022195275,Acton Centre,51.506608482889405,-0.26687840878984603,Gym / Fitness Center
Acton,51.51059090877987,-0.2645845022195275,Park+Bridge,51.50838186825999,-0.26708364486694336,Wine Shop
Acton,51.51059090877987,-0.2645845022195275,Laveli Bakery,51.50885911091865,-0.2633663546087716,Bakery
Acton,51.51059090877987,-0.2645845022195275,Putt in the Park,51.508583,-0.26017797,Mini Golf
Acton,51.51059090877987,-0.2645845022195275,Acton Central London Overground Station,51.50858971711533,-0.26292786285307534,Train Station
Acton,51.51059090877987,-0.2645845022195275,Sainsbury's Local,51.50846646827799,-0.26631848387867363,Grocery Store
Acton,51.51059090877987,-0.2645845022195275,DW Fitness First,51.50723386333193,-0.2690392050070243,Gym / Fitness Center
Acton,51.51059090877987,-0.2645845022195275,Frank's Cafe,51.508083,-0.2703,Café
Aldgate,51.514884613961875,-0.07835558216724178,1Rebel,51.51556902561045,-0.08003982008326857,Gym / Fitness Center
Aldgate,51.514884613961875,-0.07835558216724178,The Association,51.513732512603596,-0.0791316925995283,Coffee Shop
Aldgate,51.514884613961875,-0.07835558216724178,Katsu Wrap,51.515882835396425,-0.0778485809876564,Food Truck
Aldgate,51.514884613961875,-0.07835558216724178,Swingers - The Crazy Golf Club,51.51420157362574,-0.08038336701107841,Mini Golf
Aldgate,51.514884613961875,-0.07835558216724178,Dorsett City London,51.514035933296014,-0.07581156452943104,Hotel
Aldgate,51.514884613961875,-0.07835558216724178,SUSHISAMBA,51.51615630221785,-0.08116868702927604,Sushi Restaurant
Aldgate,51.514884613961875,-0.07835558216724178,Duck & Waffle,51.516108085718514,-0.08092590729047038,Cocktail Bar
Aldgate,51.514884613961875,-0.07835558216724178,HELIX Restaurant,51.514487831810285,-0.08036044975007965,Restaurant
Aldgate,51.514884613961875,-0.07835558216724178,The Alchemist,51.51513452901846,-0.07960858854147775,Cocktail Bar
Aldgate,51.514884613961875,-0.07835558216724178,Farmer J,51.513605,-0.080783,Salad Place
Aldgate,51.514884613961875,-0.07835558216724178,Discount Suit Company,51.516705,-0.07550586,Cocktail Bar
